study,QA1_aims,QA2_mechanism_defined,QA3_ablation,QA4_repro,QA5_faithfulness,QA6_correction,QA7_family_scope,QA8_threats
A Reparameterized Discrete Diffusion Model for Text Generation,1,1,0.5,1,0,0,1,0.5
Factorization-Error-Free Discrete Diffusion Language Model via Speculative Decoding,1,1,0.5,1,0,1,0.5,0.5
Discrete Diffusion Modeling by Estimating the Ratios of the Data Distribution,1,1,1,1,1,0,1,0.5
Coevolutionary Continuous Discrete Diffusion: Make Your Diffusion Language Model a Latent Reasoner,1,1,0.5,1,0,0,0.5,0.5
Dependency-Guided Parallel Decoding in Discrete Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
Drifting Objectives for Refining Discrete Diffusion Language Models,1,1,0.5,1,0,1,1,0.5
Scaling Behavior of Discrete Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Is Your Diffusion Sampler Actually Correct? A Sampler-Centric Evaluation of Discrete Diffusion Language Models,1,1,0.5,1,0,1,0.5,0.5
Rethinking Token Prediction: Tree-Structured Diffusion Language Model,1,1,0.5,0.5,0,0,0.5,0.5
Discrete Diffusion Language Model for Efficient Text Summarization,1,1,0.5,1,0,0,0.5,0.5
MetaState: Persistent Working Memory Enhances Reasoning in Discrete Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Steering Without Breaking: Mechanistically Informed Interventions for Discrete Diffusion Language Models,1,1,1,1,0,0,0.5,0.5
When to Commit? Towards Variable-Size Self-Contained Blocks for Discrete Diffusion Language Models,1,1,1,1,0,0,0.5,0.5
Conditional [MASK] Discrete Diffusion Language Model,1,1,0.5,1,0,0,0.5,0.5
Dream-Coder 7B: An Open Diffusion Language Model for Code,1,1,0.5,1,0,0,0.5,0.5
How to Train Your Latent Diffusion Language Model Jointly With the Latent Space,1,1,1,1,0,0,0.5,0.5
Anchored Diffusion Language Model,1,1,0.5,1,0,0,1,0.5
Test-Time Anchoring for Discrete Diffusion Posterior Sampling,1,1,0.5,1,0,0,1,0.5
Flexible-length Text Infilling for Discrete Diffusion Models,1,1,1,1,0,0,0.5,0.5
Entropy Aware Reward Guidance for Diffusion Language Model Alignment,1,1,0.5,1,0,0,0.5,0.5
Prism: Efficient Test-Time Scaling via Hierarchical Search and Self-Verification for Discrete Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Generalized Interpolating Discrete Diffusion,1,1,0.5,1,0,1,1,0.5
Reinforcing the Diffusion Chain of Lateral Thought with Diffusion Language Models,1,1,0.5,1,0,1,0.5,0.5
LLaDA-MoE: A Sparse MoE Diffusion Language Model,1,1,0.5,1,0,0,0.5,0.5
Scaffold Diffusion: Sparse Multi-Category Voxel Structure Generation with Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
CAGenMol: Condition-Aware Diffusion Language Model for Goal-Directed Molecular Generation,1,1,1,1,0,0,0.5,0.5
Constrained Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
Consistent Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
Diffutron: A Masked Diffusion Language Model for Turkish Language,1,1,0.5,1,0,0,1,0.5
Dynamic Chunking for Diffusion Language Models,1,1,0.5,1,0,0,1,0.5
Transfer Learning for Text Diffusion Models,1,1,0.5,1,0,0,0,0.5
Theoretical Benefit and Limitation of Diffusion Language Model,1,1,1,1,0,1,0.5,0.5
Scaling Beyond Masked Diffusion Language Models,1,1,0.5,1,0,0,1,0.5
Generalized Discrete Diffusion from Snapshots,1,1,0.5,1,0,0,1,0.5
Your Absorbing Discrete Diffusion Secretly Models the Bayesian Posterior,1,1,1,0.5,0,1,0.5,0.5
Unified Discrete Diffusion for Categorical Data,1,1,0.5,1,0,0,0.5,0.5
TESS 2: A Large-Scale Generalist Diffusion Language Model,1,1,1,1,0,0,0,0.5
Diffusion Language Model Inference with Monte Carlo Tree Search,1,1,1,1,0,0,0.5,0.5
Sequential Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
Likelihood-Based Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
Text Diffusion with Reinforced Conditioning,1,1,0.5,1,0,0,0.5,0.5
Energy-Based Diffusion Language Models for Text Generation,1,1,1,1,0,0,0.5,0.5
Discrete Diffusion in Large Language and Multimodal Models: A Survey,1,1,0.5,0.5,0,0,0.5,0.5
Split Gibbs Discrete Diffusion Posterior Sampling,1,1,0.5,1,0,0,0.5,0.5
FlashDLM: Accelerating Diffusion Language Model Inference via Efficient KV Caching and Guided Diffusion,1,1,1,1,0,0,0,0.5
A Study on Leveraging Search and Self-Feedback for Agent Reasoning,1,1,0.5,1,0,0,0,0.5
Continuous Latent Diffusion Language Model,1,1,0.5,1,0,0,0.5,0.5
Latent-Augmented Discrete Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Unified Multimodal Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
Deferred Commitment Decoding for Diffusion Language Models,1,1,1,1,0,0,0.5,0.5
Text Generation with Diffusion Language Models: A Pre-training Approach with Continuous Paragraph Denoise,1,1,0.5,1,0,0,0.5,0.5
Text-Guided Molecule Generation with Diffusion Language Model,1,1,1,1,0,1,0,0.5
Embedding Inversion via Conditional Masked Diffusion Language Models,1,1,1,1,0,1,0.5,0.5
Breaking the Factorization Barrier in Diffusion Language Models,1,1,0.5,1,0,0,1,0.5
Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,1,1,1,1,0,1,0.5,0.5
Non-Markovian Discrete Diffusion with Causal Language Models,1,1,0.5,1,0,1,0.5,0.5
Constrained Code Generation with Discrete Diffusion,1,1,0.5,1,0,1,0.5,0.5
Encoder-Decoder Diffusion Language Models for Efficient Training and Inference,1,1,0.5,1,0,0,0.5,0.5
The Safety-Aware Denoiser for Text Diffusion Models,1,1,0.5,1,0,0,0,0.5
Interpolating Discrete Diffusion Models with Controllable Resampling,1,1,0.5,1,0,1,0.5,0.5
Target Concrete Score Matching: A Holistic Framework for Discrete Diffusion,1,1,0.5,1,0,0,1,0.5
Informed Correctors for Discrete Diffusion Models,1,1,0.5,1,0,1,0.5,0.5
Diffusion of Thoughts: Chain-of-Thought Reasoning in Diffusion Language Models,1,1,0.5,1,0,1,0,0.5
Why Masking Diffusion Works: Condition on the Jump Schedule for Improved Discrete Diffusion,1,1,0.5,0.5,0,0,1,0.5
Preference-Based Alignment of Discrete Diffusion Models,1,1,1,0.5,0,0,0.5,0.5
Understanding the Quality-Diversity Trade-off in Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
Quantized Embedding Vectors for Controllable Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
Volcano: Mitigating Multimodal Hallucination through Self-Feedback Guided Revision,1,1,0.5,1,1,1,0,0.5
Distillation of Discrete Diffusion through Dimensional Correlations,1,1,0.5,1,0,0,0.5,0.5
Adaptive Steering and Remasking for Safe Generation in Diffusion Language Models,1,1,1,1,0,0,0,0.5
G2D2: Gradient-Guided Discrete Diffusion for Inverse Problem Solving,1,1,0.5,1,0,0,0.5,0.5
Remasking Discrete Diffusion Models with Inference-Time Scaling,1,1,0.5,1,0,1,0.5,0.5
Improving Discrete Diffusion Models via Structured Preferential Generation,1,1,0.5,1,0,0,0.5,0.5
Variational Autoencoding Discrete Diffusion with Enhanced Dimensional Correlations Modeling,1,1,0.5,0.5,0,0,0.5,0.5
Effective Test-Time Scaling of Discrete Diffusion through Iterative Refinement,1,1,0.5,0.5,0,0,0.5,0.5
Fine-Tuning Discrete Diffusion Models with Policy Gradient Methods,1,1,0.5,1,0,0,0.5,0.5
Align to the Pivot: Dual Alignment with Self-Feedback for Multilingual Math Reasoning,1,1,1,1,0,1,0,0.5
Continuously Augmented Discrete Diffusion model for Categorical Generative Modeling,1,1,0.5,1,0,0,0.5,0.5
Diffusion Language Models for Speech Recognition,1,1,0.5,1,0,0,0.5,0.5
Generalized Discrete Diffusion with Self-Correction,1,1,0.5,1,0,1,1,0.5
Scale-Wise VAR is Secretly Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
Glauber Generative Model: Discrete Diffusion Models via Binary Classification,1,1,1,1,0,0,0.5,0.5
Double Descent as a Lens for Sample Efficiency in Autoregressive vs. Discrete Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Post-Training Large Language Models via Reinforcement Learning from Self-Feedback,1,1,0.5,0.5,0,0,0,0.5
CoDAR: Continuous Diffusion Language Models are More Powerful Than You Think,1,1,0.5,1,0,0,0.5,0.5
Token-Based Audio Inpainting via Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
TRIMS: Trajectory-Ranked Instruction Masked Supervision for Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
TrajDLM: Topology-Aware Block Diffusion Language Model for Trajectory Generation,1,1,0.5,1,1,0,1,0.5
LR-DWM: Efficient Watermarking for Diffusion Language Models,1,1,0.5,0.5,0,0,0,0.5
"Beyond Masks: Efficient, Flexible Diffusion Language Models via Deletion-Insertion Processes",1,1,1,1,0,1,0.5,0.5
Syntax-Guided Diffusion Language Models with User-Integrated Personalization,1,1,0.5,1,1,0,0,0.5
Inference-Time Scaling of Discrete Diffusion Models via Importance Weighting and Optimal Proposal Design,1,1,0.5,0.5,0,0,0.5,0.5
Internal Consistency and Self-Feedback in Large Language Models: A Survey,1,1,0.5,1,1,1,0,0.5
Discovering Mathematical Equations with Diffusion Language Model,1,1,0.5,1,0,0,0.5,0.5
On the $ε$-Free Inference Complexity of Absorbing Discrete Diffusion,1,1,0.5,0.5,0,1,0.5,0.5
Support Before Frequency in Discrete Diffusion,1,1,0.5,1,0,1,0.5,0.5
Copilot4D: Learning Unsupervised World Models for Autonomous Driving via Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
Diffusion Language Models Can Perform Many Tasks with Scaling and Instruction-Finetuning,1,1,0.5,1,0,0,1,0.5
Discrete Diffusion Trajectory Alignment via Stepwise Decomposition,1,1,0.5,1,0,0,0.5,0.5
In-Situ Tweedie Discrete Diffusion Models,1,1,1,1,0,1,0.5,0.5
SeqDiffuSeq: Text Diffusion with Encoder-Decoder Transformers,1,1,0.5,1,0,0,1,0.5
