id,title,authors,year,venue,url,abstract
9yBIkvNRsX,A landscape of text diffusion models,,2025,,https://openreview.net/forum?id=ObXB7KJn0B,
Y6NULorfY2,Online Budget-Aware Guidance for Blockwise Discrete Text Diffusion,Minha Jhang; Wonchan Shin; Kyomin Jung,2025,Submitted to ICLR 2026,https://openreview.net/forum?id=Y6NULorfY2,"Diffusion language models (DLMs) are emerging as strong alternatives to autoregressive decoders, combining iterative refinement, global context access, and natural controllability. Yet controllable text diffusion remains underexplored: unlike vision, where plug-and-play guidance is central, existing methods for text rely on fixed or decaying step-size schedules that are brittle across prompts, constraints, and remasking strategies. The problem is amplified in modern blockwise DLMs, where gradient volatility and coverage fluctuate across spans, making schedule-based heuristics unstable. 
We present BALE(Budget-Aware Logit Editing), a plug-and-play controller that replaces heuristic schedules with an online, budget-aware rule. At each step, BALE fuses multi-constraint gradients and selects guidance strength by balancing a residual-targeted movement rule, stability caps based on an EMA Lipschitz proxy and a KL surrogate. Beyond per-step control, BALE allocates a fixed sequence-level budget across blocks and reallocates dynamically at boundaries. A discrete-time KL bound and a continuous-time SDE view explain why BALE stabilizes blockwise decoding. 
On LLaDa-8B, BALE improves lexical (must-have, forbidden), semantic (sentiment, formality), and combined controls over prompt tuning and schedule-based baselines, yielding higher satisfaction rates at matched or lower perplexity and stronger human/LLM preference. BALE is lightweight, scheduler-free, and advances controllable text diffusion toward practical deployment."
waXErj8gN4,,,2024,,https://openreview.net/forum?id=u08UxVNdIo,
mhXar5n2Cw,,,2024,,https://openreview.net/forum?id=uZ5K4HeNwd,
WLmHD0pm40,,,2025,,https://openreview.net/forum?id=5y8R8XSHkG,
L4uaAR4ArM,Simple and Effective Masked Diffusion Language Models,Subham Sekhar Sahoo; Marianne Arriola; Yair Schiff; Aaron Gokaslan; Edgar Mariano Marroquin; Justin T Chiu; Alexander M Rush; Volodymyr Kuleshov,2024,NeurIPS 2024 poster,https://openreview.net/forum?id=L4uaAR4ArM,"While diffusion models excel at generating high-quality images, prior work reports a significant performance gap between diffusion and autoregressive (AR) methods in language modeling.
In this work, we show that simple masked discrete diffusion is more performant than previously thought.
We apply an effective training recipe that improves the performance of masked diffusion models and derive a simplified, Rao-Blackwellized objective that results in additional improvements.
Our objective has a simple form&mdash;it is a mixture of classical masked language modeling losses&mdash;and can be used to train encoder-only language models that admit efficient samplers, including ones that can generate arbitrary lengths of text semi-autoregressively like a traditional language model.
On language modeling benchmarks, a range of masked diffusion models trained with modern engineering practices achieves a new state-of-the-art among diffusion models, and approaches AR perplexity. We provide the code, along with a blog post and video tutorial on the project page: https://s-sahoo.com/mdlm"
ubHqq3qpZD,Text-Diffusion Red-Teaming of Large Language Models: Unveiling Harmful Behaviors with Proximity Constraints,Jonathan Nöther; Adish Singla; Goran Radanovic,2024,Red Teaming GenAI Workshop @ NeurIPS'24 Poster,https://openreview.net/forum?id=ubHqq3qpZD,"Recent work has proposed automated red-teaming methods for testing the vulnerabilities of a given target large language model (LLM). These methods use LLMs to uncover inputs that induce harmful behavior in a target LLM. In this paper, we study red-teaming strategies that enable a targeted security assessment. We propose an optimization framework for red-teaming with proximity constraints, where the discovered prompts must be similar to reference prompts from a given dataset. This dataset serves as a template for the discovered prompts, anchoring the search for test-cases to specific topics, writing styles, or types of harmful behavior. We show that established auto-regressive model architectures do not perform well in this setting. We therefore introduce a black-box red-teaming method based on text-diffusion models: Diffusion for Auditing and Red-Teaming (DART). DART modifies the reference prompt by perturbing it in the embedding space, directly controlling the amount of change introduced. We systematically evaluate our method by comparing its effectiveness with established methods based on model fine-tuning and zero- and few-shot prompting. Our results show that DART is significantly more effective at discovering harmful inputs in close proximity to the reference prompt."
Za7OzKWtyb,Effective Integration of Text Diffusion and Pre-Trained Language Models with Linguistic Easy-First Schedule,Yimin Ou; Ping Jian,2024,LREC/COLING 2024,https://openreview.net/forum?id=Za7OzKWtyb,"Diffusion models have become a powerful generative modeling paradigm, achieving great success in continuous data patterns. However, the discrete nature of text data results in compatibility issues between continuous diffusion models (CDMs) and pre-trained language models (PLMs). That is, the performance of diffusion models even degrades when combined with PLMs. To alleviate this issue, we propose to utilize a pre-trained decoder to convert the denoised embedding vectors into natural language instead of using the widely used rounding operation. In this way, CDMs can be more effectively combined with PLMs. Additionally, considering that existing noise schedules in text diffusion models do not take into account the linguistic differences among tokens, which violates the easy-first policy for text generation, we propose a linguistic easy-first schedule that incorporates the measure of word importance, conforming to easy-first-generation linguistic features and bringing about improved generation quality. Experiment results on the E2E dataset and five controllable tasks show that our approach can combine the merits of CDMs and PLMs, significantly outperforming other diffusion-based models."
2c4KQXAQO0,,,2025,,https://openreview.net/forum?id=JCujsFnDS7,
XqwOrzAVdl,Response to Reviewer i9uk (2/2),,2024,,https://openreview.net/forum?id=DJSZGGZYVi,
